Rank,Name,Net Worth,Age,Source,Country of Citizenship
44,Paul Allen,21.7 ,65,"Microsoft, investments",United States
45,Leonardo Del Vecchio,21.2 ,83,eyeglasses,Italy
46,Dieter Schwarz,20.9 ,78,retail,Germany
47,Thomas Peterffy,20.3 ,73,discount brokerage,United States
48,"Theo Albrecht, Jr.",20.2 ,67,"Aldi, Trader Joe's",Germany
48,Len Blavatnik,20.2 ,61,diversified,United States
50,He Xiangjian,20.1 ,75,home appliances,China
50,Lui Che Woo,20.1 ,89,casinos,Hong Kong
52,James Simons,20 ,80,hedge funds,United States
52,Henry Sy,20 ,93,diversified,Philippines
54,Elon Musk,19.9 ,46,Tesla Motors,United States
55,Hinduja family,19.5 ,-,diversified,United Kingdom
55,Tadashi Yanai,19.5 ,69,fashion retail,Japan
57,Vladimir Lisin,19.1 ,62,"steel, transport",Russia
58,Laurene Powell Jobs,18.8 ,54,"Apple, Disney",United States
58,Azim Premji,18.8 ,72,software services,India
60,Alexey Mordashov,18.7 ,52,"steel, investments",Russia
61,Lee Kun-Hee,18.6 ,76,Samsung,South Korea
62,Lakshmi Mittal,18.5 ,68,steel,India
63,Wang Wei,18.2 ,48,package delivery,China
64,Leonid Mikhelson,18 ,62,"gas, chemicals",Russia
65,Charoen Sirivadhanabhakdi,17.9 ,74,"drinks, real estate",Thailand
66,Pallonji Mistry,17.8 ,89,construction,Ireland
67,Ray Dalio,17.7 ,68,hedge funds,United States
68,Takemitsu Takizaki,17.5 ,73,sensors,Japan
69,William Ding,17.4 ,46,online games,China
69,R. Budi Hartono,17.4 ,77,"banking, tobacco",Indonesia
69,Gina Rinehart,17.4 ,64,mining,Australia
72,German Larrea Mota Velasco,17.3 ,64,mining,Mexico
73,Carl Icahn,16.8 ,82,investments,United States
73,Stefan Persson,16.8 ,70,H&M,Sweden
75,Michael Hartono,16.7 ,78,"banking, tobacco",Indonesia
75,Joseph Lau,16.7 ,66,real estate,Hong Kong
77,Thomas & Raymond Kwok,16.5 ,-,real estate,Hong Kong
78,Vagit Alekperov,16.4 ,67,oil,Russia
78,James Ratcliffe,16.4 ,65,chemicals,United Kingdom
80,Donald Bren,16.3 ,86,real estate,United States
80,Iris Fontbona,16.3 ,75,mining,Chile
82,Gennady Timchenko,16 ,65,"oil, gas",Russia
83,Abigail Johnson,15.9 ,56,money management,United States
83,Vladimir Potanin,15.9 ,57,metals,Russia
83,Lukas Walton,15.9 ,31,Walmart,United States
86,Charlene de Carvalho-Heineken,15.8 ,63,Heineken,Netherlands
87,Zhang Zhidong,15.6 ,46,internet media,China
88,Petr Kellner,15.5 ,54,banking,Czech Republic
88,Andrey Melnichenko,15.5 ,46,"coal, fertilizers",Russia
88,David & Simon Reuben,15.5 ,-,"investments, real estate",United Kingdom
91,Klaus-Michael Kuehne,15.3 ,81,shipping,Germany
91,Li Shufu,15.3 ,55,automobiles,China
93,Mikhail Fridman,15.1 ,54,"oil, banking, telecom",Russia
94,Rupert Murdoch,15 ,87,"newspapers, TV network",United States
95,Dhanin Chearavanont,14.9 ,79,diversified,Thailand
96,Robert Kuok,14.8 ,94,"palm oil, shipping, property",Malaysia
97,Emmanuel Besnier,14.7 ,47,cheese,France
98,Shiv Nadar,14.6 ,72,software services,India
99,Viktor Vekselberg,14.4 ,61,"metals, energy",Russia
100,Aliko Dangote,14.1 ,61,"cement, sugar, flour",Nigeria
100,Harold Hamm,14.1 ,72,oil & gas,United States
102,Steve Cohen,14 ,62,hedge funds,United States
102,Dustin Moskovitz,14 ,34,Facebook,United States
102,Marcel Herrmann Telles,14 ,68,beer,Brazil
105,Reinhold Wuerth,13.6 ,83,fasteners,Germany
106,Charles Ergen,13.4 ,65,satellite TV,United States
106,Eric Schmidt,13.4 ,63,Google,United States
108,Philip Anschutz,13 ,78,investments,United States
108,Jim Kennedy,13 ,70,media,United States
108,Blair Parry-Okeden,13 ,68,media,United States
108,Alain Wertheimer,13 ,69,Chanel,France
108,Gerard Wertheimer,13 ,67,Chanel,France
113,Leonard Lauder,12.9 ,81,Estee Lauder,United States
113,Heinz Hermann Thiele,12.9 ,77,brakes,Germany
115,Dilip Shanghvi,12.8 ,62,pharmaceuticals,India
116,Hasso Plattner,12.7 ,74,software,Germany
117,Stephen Schwarzman,12.6 ,71,investments,United States
118,Lei Jun,12.5 ,48,smartphones,China
118,Hans Rausing,12.5 ,92,packaging,Sweden
118,Alisher Usmanov,12.5 ,64,"steel, telecom, investments",Russia
121,Donald Newhouse,12.3 ,88,media,United States
122,Peter Woo,12.2 ,71,real estate,Hong Kong
123,Luis Carlos Sarmiento,12.1 ,85,banking,Colombia
124,Robin Li,12 ,49,internet search,China
124,Carlos Alberto Sicupira,12 ,70,beer,Brazil
126,Seo Jung-Jin,11.9 ,60,biotech,South Korea
127,Kumar Birla,11.8 ,51,commodities,India
127,Alexander Otto,11.8 ,50,real estate,Germany
127,Stefano Pessina,11.8 ,77,drugstores,Italy
130,Udo & Harald Tschira,11.7 ,-,software,Germany
130,Wang Wenyin,11.7 ,50,"mining, copper products",China
132,Andrew Beal,11.6 ,65,"banks, real estate",United States
132,Lee Man Tat,11.6 ,88,"Oyster sauce, real estate",Hong Kong
134,"John Menard, Jr.",11.5 ,78,home improvement stores,United States
135,Xu Shihui,11.3 ,60,"snacks, beverages",China
135,Zhou Hongyi,11.3 ,47,security software,China
137,Gong Hongjia,11.2 ,53,video surveillance,Hong Kong
138,Michael Otto,11 ,75,"retail, real estate",Germany
138,David Tepper,11 ,60,hedge funds,United States
140,Roman Abramovich,10.8 ,51,"steel, investments",Russia
140,Liu Qiangdong,10.8 ,43,e-commerce,China
140,Robert & Philip Ng,10.8 ,-,real estate,Singapore
143,Alberto Bailleres Gonzalez,10.7 ,86,mining,Mexico
143,Uday Kotak,10.7 ,59,banking,India
145,Pierre Omidyar,10.5 ,50,eBay,United States
146,Walter P.J. Droege,10.3 ,65,consulting,Germany
147,Dietmar Hopp,10.2 ,78,software,Germany
148,Graeme Hart,10.1 ,63,investments,New Zealand
148,Eduardo Saverin,10.1 ,36,Facebook,Brazil
148,Yan Zhi,10.1 ,45,real estate,China
151,Radhakishan Damani,10 ,63,"investments, retail",India
152,German Khan,9.8 ,56,"oil, banking, telecom",Russia
152,Ronald Perelman,9.8 ,75,leveraged buyouts,United States
154,Gautam Adani,9.7 ,55,"commodities, ports",India
154,Micky Arison,9.7 ,68,Carnival Cruises,United States
154,Pan Zhengmin,9.7 ,48,electronics,China
154,Joseph Tsai,9.7 ,54,e-commerce,Canada
158,"Thomas Frist, Jr.",9.6 ,79,health care,United States
158,Mikhail Prokhorov,9.6 ,53,investments,Russia
160,Galen Weston,9.5 ,77,retail,Canada
160,Zong Qinghou,9.5 ,72,beverages,China
162,Eyal Ofer,9.4 ,68,"real estate, shipping",Israel
162,Charles Schwab,9.4 ,80,discount brokerage,United States
164,Gianluigi & Rafaela Aponte,9.3 ,77,Shipping,Switzerland
164,"Herbert Kohler, Jr.",9.3 ,79,plumbing fixtures,United States
164,Viktor Rashnikov,9.3 ,69,steel,Russia
167,Harry Triguboff,9.2 ,85,real estate,Australia
167,August von Finck,9.2 ,88,investments,Germany
167,Yao Zhenhua,9.2 ,48,conglomerate,China
170,Jan Koum,9.1 ,42,WhatsApp,United States
170,Cyrus Poonawalla,9.1 ,77,vaccines,India
172,James Goodnight,9 ,75,software,United States
172,Ken Griffin,9 ,49,hedge funds,United States
174,Giorgio Armani,8.9 ,83,luxury goods,Italy
174,Ernesto Bertarelli,8.9 ,52,"biotech, investments",Switzerland
176,Savitri Jindal,8.8 ,68,steel,India
176,Sunil Mittal,8.8 ,60,telecom,India
178,James Chambers,8.7 ,61,media,United States
178,Katharine Rayner,8.7 ,73,media,United States
178,Margaretta Taylor,8.7 ,76,media,United States
181,Terry Gou,8.5 ,67,electronics,Taiwan
181,Gordon Moore,8.5 ,89,Intel,United States
183,James Irving,8.3 ,90,diversified,Canada
183,Stanley Kroenke,8.3 ,70,"sports, real estate",United States
185,Melker Schorling,8.2 ,71,investments,Sweden
186,Johann Graf,8.1 ,71,gambling,Austria
186,Guo Guangchang,8.1 ,51,conglomerate,China
186,John Malone,8.1 ,77,cable television,United States
186,Xavier Niel,8.1 ,50,"internet, telecom",France
190,Silvio Berlusconi,8 ,81,media,Italy
190,Carl Cook,8 ,55,medical devices,United States
190,David Geffen,8 ,75,"movies, record labels",United States
190,Hui Wing Mau,8 ,67,real estate,Hong Kong
190,Walter Kwok,8 ,67,real estate,Hong Kong
190,George Soros,8 ,87,hedge funds,United States
196,"Edward Johnson, III.",7.9 ,87,money management,United States
196,Massimiliana Landini Aleotti,7.9 ,75,pharmaceuticals,Italy
198,David Duffield,7.8 ,77,business software,United States
198,George Kaiser,7.8 ,75,"oil & gas, banking",United States
198,Patrick Soon-Shiong,7.8 ,65,pharmaceuticals,United States
198,Zhou Qunfei,7.8 ,48,smartphone screens,Hong Kong
202,Nicky Oppenheimer,7.7 ,73,diamonds,South Africa
202,Sun Piaoyang,7.7 ,59,pharmaceuticals,China
202,Wu Yajun,7.7 ,54,real estate,China
205,Alexei Kuzmichev,7.6 ,55,"oil, banking, telecom",Russia
205,Stephen Ross,7.6 ,78,real estate,United States
207,Vincent Bollore,7.4 ,66,investments,France
207,Pauline MacMillan Keinath,7.4 ,84,Cargill,United States
207,Jay Y. Lee,7.4 ,49,Samsung,South Korea
207,Anders Holch Povlsen,7.4 ,45,fashion retail,Denmark
211,Eli Broad,7.3 ,85,investments,United States
211,Michael Kadoorie,7.3 ,76,"hotels, energy",Hong Kong
211,Iskander Makhmudov,7.3 ,54,"mining, metals, machinery",Russia
211,Frederik Paulsen,7.3 ,67,health care,Sweden
211,Sun Hongbin,7.3 ,55,real estate,United States
211,Christy Walton,7.3 ,69,Walmart,United States
217,Shahid Khan,7.2 ,67,auto parts,United States
217,Ananda Krishnan,7.2 ,80,"telecoms, media, oil-services",Malaysia
217,Carrie Perrodo,7.2 ,67,oil,France
217,Quek Leng Chan,7.2 ,76,"banking, property",Malaysia
217,Wang Wenxue,7.2 ,51,real estate,China
222,John Doerr,7.1 ,66,venture capital,United States
222,Patrick Drahi,7.1 ,54,telecom,France
222,Eva Gonda de Rivera,7.1 ,-,beverages,Mexico
222,Willi & Isolde Liebherr,7.1 ,-,Construction,Switzerland
222,Ricardo Salinas Pliego,7.1 ,62,"retail, media",Mexico
222,Suh Kyung-Bae,7.1 ,55,cosmetics,South Korea
228,Pollyanna Chu,7 ,60,financial services,Hong Kong
228,John Fredriksen,7 ,73,shipping,Cyprus
228,Goh Cheng Liang,7 ,91,paints,Singapore
228,Sri Prakash Lohia,7 ,65,polyester,Indonesia
228,Lu Zhiqiang,7 ,65,real estate,China
228,Jorn Rausing,7 ,58,packaging,Sweden
228,Johann Rupert,7 ,68,luxury goods,South Africa
228,Jacques Saade,7 ,81,shipping,France
228,Wu Shaoxun,7 ,62,wine,China
237,Leonid Fedun,6.9 ,62,oil,Russia
237,Kim Jung-Ju,6.9 ,50,online games,South Korea
237,Sandra Ortega Mera,6.9 ,49,Zara,Spain
237,Jim Pattison,6.9 ,89,diversified,Canada
237,Michael Platt,6.9 ,50,hedge funds,United Kingdom
242,Chan Laiwa,6.8 ,77,real estate,China
242,David Green,6.8 ,76,retail,United States
242,Hank & Doug Meijer,6.8 ,-,supermarkets,United States
242,Dmitry Rybolovlev,6.8 ,51,fertilizer,Russia
242,Tsai Eng-Meng,6.8 ,61,"food, beverages",Taiwan
242,Andreas von Bechtolsheim,6.8 ,62,Google,Germany
248,Oleg Deripaska,6.7 ,50,"aluminum, utilities",Russia
248,Liu Yongxing,6.7 ,70,diversified,China
248,Ludwig Merckle,6.7 ,53,pharmaceuticals,Germany
251,Brian Acton,6.6 ,46,WhatsApp,United States
251,John Grayken,6.6 ,62,private equity,Ireland
251,Ann Walton Kroenke,6.6 ,69,Walmart,United States
251,Augusto & Giorgio Perfetti,6.6 ,-,candy,Italy
251,Finn Rausing,6.6 ,63,packaging,Sweden
251,Kirsten Rausing,6.6 ,66,packaging,Sweden
251,Odd Reitan,6.6 ,66,"retail, real estate",Norway
251,Nassef Sawiris,6.6 ,57,"construction, chemicals",Egypt
251,Wee Cho Yaw,6.6 ,89,banking,Singapore
251,Aloys Wobben,6.6 ,66,wind turbines,Germany
261,Leon Black,6.5 ,66,private equity,United States
261,Ivan Glasenberg,6.5 ,61,mining,Switzerland
261,John Paulson,6.5 ,62,hedge funds,United States
261,Wei Jianjun,6.5 ,54,automobiles,China
265,Francis Choi,6.4 ,70,real estate,Hong Kong
265,Erivan Haub,6.4 ,85,retail,Germany
265,Jason Jiang,6.4 ,45,advertising,China
265,Suleiman Kerimov,6.4 ,52,investments,Russia
265,Ian & Richard Livingstone,6.4 ,-,real estate,United Kingdom
265,Pang Kang,6.4 ,62,soy sauce maker,China
265,David Shaw,6.4 ,67,hedge funds,United States
265,Kushal Pal Singh,6.4 ,86,real estate,India
265,John A. Sobrato,6.4 ,79,real estate,United States
274,Acharya Balkrishna,6.3 ,45,consumer goods,India
274,Guenther Fielmann,6.3 ,78,optometry,Germany
274,Daniel Gilbert,6.3 ,56,Quicken Loans,United States
274,Antonia Johnson,6.3 ,74,diversified,Sweden
274,Vikram Lal,6.3 ,76,motorcycles,India
274,Akira Mori,6.3 ,81,real estate,Japan
274,Maria-Elisabeth Schaeffler-Thumann,6.3 ,76,auto parts,Germany
281,Albert Frere,6.2 ,92,investments,Belgium
281,Richard Kinder,6.2 ,73,pipelines,United States
281,Robert Kraft,6.2 ,77,New England Patriots,United States
281,Ralph Lauren,6.2 ,78,Ralph Lauren,United States
281,Bruno Schroder,6.2 ,85,banking,United Kingdom
281,Nusli Wadia,6.2 ,74,consumer goods,India
287,Pierre Bellon,6.1 ,88,food services,France
287,Les Wexner,6.1 ,80,retail,United States
289,Benu Gopal Bangur,6 ,87,cement,India
289,David Cheriton,6 ,67,Google,Canada
289,Ma Jianrong,6 ,54,"textiles, apparel",China
289,Whitney MacMillan,6 ,88,Cargill,United States
289,Dan Olsson,6 ,71,diversified,Sweden
289,Vivek Chaand Sehgal,6 ,61,auto parts,Australia
289,Teh Hong Piow,6 ,88,banking,Malaysia
296,Abdulla bin Ahmad Al Ghurair,5.9 ,-,diversified,United Arab Emirates
296,Maria Asuncion Aramburuzabala,5.9 ,55,"beer, investments",Mexico
296,Ralph Dommermuth,5.9 ,54,internet service provider,Germany
296,Frank Lowy,5.9 ,87,shopping malls,Australia
296,Wolfgang Marguerre,5.9 ,77,pharmaceuticals,Germany
296,Marijke Mars,5.9 ,53,"candy, pet food",United States
296,Pamela Mars,5.9 ,57,"candy, pet food",United States
296,Valerie Mars,5.9 ,59,"candy, pet food",United States
296,Victoria Mars,5.9 ,61,"candy, pet food",United States
305,David & Frederick Barclay,5.8 ,84,"media, retail",United Kingdom
305,"John Gokongwei, Jr.",5.8 ,91,food and beverage,Philippines
305,Kwon Hyuk-Bin,5.8 ,44,online games,South Korea
305,Nancy Walton Laurie,5.8 ,67,Walmart,United States
305,Lin Yu-Ling,5.8 ,81,real estate,Taiwan
305,Tom & Judy Love,5.8 ,81,retail & gas stations,United States
305,Robert Rowling,5.8 ,64,investments,United States
305,Dennis Washington,5.8 ,83,"construction, mining",United States
305,Yao Liangsong,5.8 ,53,furniture,China
305,Zhang Jindong,5.8 ,55,appliance retailer,China
315,Juan Francisco Beckmann Vidal,5.7 ,78,tequila,Mexico
315,David Sun,5.7 ,66,computer hardware,United States
315,John Tu,5.7 ,76,computer hardware,United States
315,Martin Viessmann,5.7 ,64,heating equipment,Germany
315,Stef Wertheimer,5.7 ,91,metalworking tools,Israel
315,Hansjoerg Wyss,5.7 ,83,medical devices,Switzerland
321,James Dyson,5.6 ,71,vacuums,United Kingdom
321,Laurence Graff,5.6 ,80,diamond jewelry,United Kingdom
321,Jen-Hsun Huang,5.6 ,55,semiconductors,United States
321,Charles Johnson,5.6 ,85,money management,United States
321,Jerry Jones,5.6 ,75,Dallas Cowboys,United States
321,Kei Hoi Pang,5.6 ,52,real estate,China
321,Kwee family,5.6 ,-,Real Estate,Singapore
321,Lee Shin Cheng,5.6 ,79,"palm oil, property",Malaysia
321,Richard LeFrak,5.6 ,72,real estate,United States
321,Shigenobu Nagamori,5.6 ,73,motors,Japan
321,Steven Rales,5.6 ,67,manufacturing,United States
321,Friede Springer,5.6 ,75,publishing,Germany
321,Yeung Kin-man,5.6 ,54,electronics,Hong Kong
334,Rinat Akhmetov,5.5 ,51,"steel, coal",Ukraine
334,Shari Arison,5.5 ,60,Carnival Cruises,Israel
334,Dannine Avara,5.5 ,54,pipelines,United States
334,Rahel Blocher,5.5 ,42,chemicals,Switzerland
334,Andrew Currie,5.5 ,62,chemicals,United Kingdom
334,Scott Duncan,5.5 ,35,pipelines,United States
334,Milane Frantz,5.5 ,48,pipelines,United States
334,Diane Hendricks,5.5 ,71,roofing,United States
334,Magdalena Martullo-Blocher,5.5 ,49,chemicals,Switzerland
334,Hiroshi Mikitani,5.5 ,53,online retail,Japan
334,Gabe Newell,5.5 ,55,videogames,United States
334,Pan Sutong,5.5 ,55,"real estate, finance",Hong Kong
334,Anthony Pratt,5.5 ,58,manufacturing,Australia
334,John Reece,5.5 ,61,chemicals,United Kingdom
334,Randa Williams,5.5 ,56,pipelines,United States
334,Zhang Bangxin,5.5 ,38,after-school tutoring,China
334,Zhang Shiping,5.5 ,71,aluminum products,China
351,Jean-Michel Besnier,5.4 ,51,cheese,France
351,Marie Besnier Beauvalot,5.4 ,37,cheese,France
351,Richard DeVos,5.4 ,92,Amway,United States
351,Michael Herz,5.4 ,74,coffee,Germany
351,Wolfgang Herz,5.4 ,67,coffee,Germany
351,Kjeld Kirk Kristiansen,5.4 ,70,Lego,Denmark
351,Sofie Kirk Kristiansen,5.4 ,42,Lego,Denmark
351,Thomas Kirk Kristiansen,5.4 ,-,Lego,Denmark
351,Lam Wai Ying,5.4 ,-,smartphone screens,Hong Kong
351,Lin Xiucheng,5.4 ,62,electronics,China
351,Margarita Louis-Dreyfus,5.4 ,56,commodities,Switzerland
351,George Roberts,5.4 ,74,private equity,United States
351,"Edward Roski, Jr.",5.4 ,79,real estate,United States
351,Agnete Kirk Thinggaard,5.4 ,-,Lego,Denmark
365,Mike Adenuga,5.3 ,65,"telecom, oil",Nigeria
365,Jim Davis,5.3 ,75,New Balance,United States
365,David Filo,5.3 ,52,Yahoo,United States
365,Pansy Ho,5.3 ,55,casinos,Hong Kong
365,Henry Kravis,5.3 ,74,private equity,United States
365,Emanuele (Lino) Saputo,5.3 ,81,cheese,Canada
365,Xu Chuanhua,5.3 ,83,"chemicals, logistics",China
372,Alexander Abramov,5.2 ,59,"steel, mining",Russia
372,Israel Englander,5.2 ,69,hedge funds,United States
372,Frits Goldschmeding,5.2 ,84,temp agency,Netherlands
372,Marian Ilitch,5.2 ,85,"pizza, sports team",United States
372,Bruce Kovner,5.2 ,73,hedge funds,United States
372,George Lucas,5.2 ,74,Star Wars,United States
372,Kalanithi Maran,5.2 ,52,media,India
372,Elisabeth Mohn,5.2 ,77,publishing,Germany
372,"Robert Rich, Jr.",5.2 ,77,frozen foods,United States
372,Wang Chuanfu,5.2 ,52,"batteries, automobiles",China
382,Maria Fernanda Amorim,5.1 ,83,"energy, investments",Portugal
382,Pyotr Aven,5.1 ,63,"oil, banking, telecom",Russia
382,Bernard Marcus,5.1 ,89,Home Depot,United States
382,Pedro Moreira Salles,5.1 ,58,"banking, minerals",Brazil
382,Frederick Smith,5.1 ,73,FedEx,United States
382,Ronda Stryker,5.1 ,64,medical equipment,United States
388,Richard Branson,5 ,67,Virgin,United Kingdom
388,Subhash Chandra,5 ,67,media,India
388,Denise Coates,5 ,50,online gambling,United Kingdom
388,Martha Ingram,5 ,82,"book distribution, transportation",United States
388,Law Kar Po,5 ,70,real estate,Hong Kong
388,Joe Lewis,5 ,81,investments,United Kingdom
388,Gabriella Meister,5 ,70,appliances,Germany
388,Fernando Roberto Moreira Salles,5 ,72,"banking, minerals",Brazil
388,Joao Moreira Salles,5 ,56,"banking, minerals",Brazil
388,Walther Moreira Salles Junior,5 ,62,"banking, minerals",Brazil
388,Pankaj Patel,5 ,65,pharmaceuticals,India
388,Karen Pritzker,5 ,60,"hotels, investments",United States
388,Thomas Schmidheiny,5 ,72,cement,Switzerland
388,Vichai Srivaddhanaprabha,5 ,60,duty-free,Thailand
388,Keiichiro Takahara,5 ,87,diapers,Japan
388,M.A. Yusuff Ali,5 ,62,retail,India
404,Robert Bass,4.9 ,70,"oil, investments",United States
404,Marc Benioff,4.9 ,53,business software,United States
404,Martin & Olivier Bouygues,4.9 ,-,"construction, media",France
404,Chung Mong-Koo,4.9 ,80,motor vehicles,South Korea
404,Charles Dolan,4.9 ,91,cable television,United States
404,Ray Lee Hunt,4.9 ,75,"oil, real estate",United States
404,Liu Yonghao,4.9 ,66,agribusiness,China
404,John Overdeck,4.9 ,48,hedge funds,United States
404,Ajay Piramal,4.9 ,62,pharmaceuticals,India
404,"Enrique Razon, Jr.",4.9 ,58,ports,Philippines
404,Sumner Redstone,4.9 ,95,media,United States
404,Paolo & Gianfelice Mario Rocca,4.9 ,-,pipe manufacturing,Italy
404,Reinhold Schmieding,4.9 ,63,medical devices,United States
404,David Siegel,4.9 ,56,hedge funds,United States
404,Andrei Skoch,4.9 ,52,steel,Russia
404,Yu Yong,4.9 ,57,mining,China
404,Sam Zell,4.9 ,76,"real estate, private equity",United States
404,Zhou Jianping,4.9 ,58,fashion retail,China
422,Bajaj brothers,4.8 ,-,diversified,India
422,Garrett Camp,4.8 ,39,Uber,Canada
422,Bubba Cathy,4.8 ,64,Chick-fil-A,United States
422,Dan Cathy,4.8 ,65,Chick-fil-A,United States
422,Fu Liquan,4.8 ,50,surveillance equipment,China
422,Philip & Cristina Green,4.8 ,66,fashion retail,United Kingdom
422,Mikhail Gutseriev,4.8 ,60,"oil, real estate",Russia
422,"Rupert Johnson, Jr.",4.8 ,77,money management,United States
422,Travis Kalanick,4.8 ,41,Uber,United States
422,Andrei Kozitsyn,4.8 ,58,metals,Russia
422,Horst Paulmann,4.8 ,83,retail,Chile
422,Julio Ponce Lerou,4.8 ,72,fertilizer,Chile
422,Trevor Rees-Jones,4.8 ,66,oil & gas,United States
422,Mark Scheinberg,4.8 ,44,online gambling,Canada
422,Jeffrey Skoll,4.8 ,53,eBay,United States
422,Murat Ulker,4.8 ,59,food,Turkey
422,Daniel Ziff,4.8 ,46,investments,United States
422,Dirk Ziff,4.8 ,54,investments,United States
422,Robert Ziff,4.8 ,51,investments,United States
441,Juergen Blickle,4.7 ,71,auto parts,Germany
441,Bernard Broermann,4.7 ,74,hospitals,Germany
441,Clive Calder,4.7 ,71,record label,United Kingdom
441,Stanley Druckenmiller,4.7 ,65,hedge funds,United States
441,Ted Lerner,4.7 ,92,real estate,United States
441,Li Shuirong,4.7 ,61,petrochemicals,China
441,Lim Kok Thay,4.7 ,66,casinos,Malaysia
441,Niels Peter Louis-Hansen,4.7 ,70,medical devices,Denmark
441,Fredrik Lundberg,4.7 ,66,"real estate, investments",Sweden
441,Gwendolyn Sontheim Meyer,4.7 ,56,Cargill,United States
441,J. Christopher Reyes,4.7 ,64,food distribution,United States
441,Jude Reyes,4.7 ,62,food distribution,United States
441,Alexandra Schoerghuber,4.7 ,59,real estate,Germany
441,Sheldon Solow,4.7 ,89,real estate,United States
441,Lucio Tan,4.7 ,83,diversified,Philippines
456,Majid Al Futtaim,4.6 ,-,"real estate, retail",United Arab Emirates
456,Andrej Babis,4.6 ,63,agriculture,Czech Republic
456,Dona Bertarelli,4.6 ,50,biotech,Switzerland
456,Cai Kui,4.6 ,55,real estate,China
456,Bidzina Ivanishvili,4.6 ,62,investments,Georgia
456,"Jeremy Jacobs, Sr.",4.6 ,78,concessions,United States
456,Chris Larsen,4.6 ,58,cryptocurrency,United States
456,Patrick Lee,4.6 ,76,paper,Hong Kong
456,Liang Wengen,4.6 ,61,construction equipment,China
456,Denis O'Brien,4.6 ,60,telecom,Ireland
466,Kapil & Rahul Bhatia,4.5 ,-,airlines,India
466,Jean-Pierre Cayard,4.5 ,75,spirits,France
466,Chey Tae-Won,4.5 ,57,"IT, telecom",South Korea
466,Fang Wei,4.5 ,44,steel,China
466,Andrei Guriev,4.5 ,58,fertilizers,Russia
466,Bertil Hult,4.5 ,77,education,Sweden
466,Ji Changqun,4.5 ,50,real estate,China
466,"Paul Tudor Jones, II.",4.5 ,63,hedge funds,United States
466,Robert Miller,4.5 ,85,retail,United Kingdom
466,Sergei Popov,4.5 ,46,banking,Russia
466,Juan Roig,4.5 ,68,supermarkets,Spain
466,John Sall,4.5 ,70,software,United States
466,Leonard Stern,4.5 ,80,real estate,United States
466,Ye Chenghai,4.5 ,74,pharmaceuticals,Hong Kong
480,Anthony Bamford,4.4 ,72,construction equipment,United Kingdom
480,Chu Mang Yee,4.4 ,58,real estate,China
480,Juan Carlos Escotet,4.4 ,58,banking,Venezuela
480,Miguel Fluxa Rossello,4.4 ,79,hotels,Spain
480,Andrew Forrest,4.4 ,56,mining,Australia
480,Paul Gauselmann,4.4 ,83,gambling,Germany
480,Tamara Gustavson,4.4 ,56,self storage,United States
480,Micky Jagtiani,4.4 ,66,retail,India
480,Johan Johannson,4.4 ,51,grocery stores,Norway
480,Richard Li,4.4 ,51,telecom,Hong Kong
